symbol,name,sector,industry,revenue,ebitda,ebitda_margin_pct,total_debt,market_cap,insider_holding_pct,revenue_growth_pct,return_on_equity_pct,return_on_capital_employed_pct,promoter_pledge_pct,net_income,as_of_date,status,financial_currency,currency_flag,total_assets,retained_earnings,working_capital,current_ratio,quick_ratio,debt_to_equity,return_on_assets,beta,peg_ratio,enterprise_value,total_cash,operating_cash_flow,free_cash_flow,price_to_book,trailing_pe,data_pull_date,ebit,total_liabilities,net_income_fy0,net_income_fy1,operating_cash_flow_fy0,operating_cash_flow_fy1,total_assets_fy0,total_assets_fy1,long_term_debt_fy0,long_term_debt_fy1,current_assets_fy0,current_assets_fy1,current_liabilities_fy0,current_liabilities_fy1,total_revenue_fy0,total_revenue_fy1,cost_of_revenue_fy0,cost_of_revenue_fy1,shares_outstanding_fy0,shares_outstanding_fy1,market_cap_as_of,negative_revenue_flag
ARIES,Aries Agro Limited,Basic Materials,Agricultural Inputs,7400567808.0,761484992.0,10.29,557276992.0,4370107962.205627,54.1,41.1,13.42,19.894,0.0,428537984.0,2026-07-11,ok,INR,OK,6388425000.0,,1707364000.0,1.692,0.573,16.482,0.06689,-0.059,,4580939776.0,486695008.0,860753024.0,-70077752.0,1.3377413,10.447784,2026-07-12,780065000.0,3007384000.0,428538000.0,340228000.0,860753000.0,1045041000.0,6388425000.0,5814187000.0,307390000.0,324672000.0,4174683000.0,3971197000.0,2467319000.0,2351088000.0,7400568000.0,6222172000.0,4411236000.0,3626409000.0,13004339.0,13004339.0,2026-07-23,False
ARIHANT,Arihant Foundations & Housing Limited,Real Estate,Real Estate - Development,4203300096.0,980899968.0,23.34,4818599936.0,9945158995.75116,68.73,120.0,17.29,15.007,,589699968.0,2026-07-11,ok,INR,OK,10178100000.0,,4358400000.0,2.447,1.346,129.752,0.07527,0.406,,10313058304.0,3289499904.0,786400000.0,600573504.0,2.169993,13.661937,2026-07-12,1075400000.0,6464400000.0,589700000.0,427000000.0,786400000.0,-860600000.0,10178100000.0,5811830000.0,3424000000.0,1196345000.0,7370500000.0,3866480000.0,3012100000.0,1472501000.0,4203200000.0,2064400000.0,2923100000.0,1180000000.0,9965624.0,9965624.0,2026-07-23,False
ARIHANTCAP,Arihant Capital Markets Limited,Financial Services,Capital Markets,1842579968.0,,0.0,2440806912.0,8816125365.45105,72.86,3.5,7.62,8.7888,0.0,314624992.0,2026-07-11,ok,INR,OK,10981785000.0,,6157157000.0,1.614,1.569,55.35,0.03338,0.121,,3967434496.0,5953851904.0,-1219186944.0,,1.6963477,26.15331,2026-07-12,634273000.0,6572047000.0,314625000.0,587028000.0,-1219187000.0,315761000.0,10981785000.0,7869086000.0,2391422000.0,239300000.0,9922136000.0,7171012000.0,3764979000.0,3749441000.0,1242497000.0,1392539000.0,1063778000.0,1167512000.0,109612400.0,104112800.0,2026-07-23,False
ARIHANTSUP,Arihant Superstructures Limited,Real Estate,Real Estate - Development,5509744128.0,1265660032.0,22.97,8741853184.0,11309872646.5,78.84,18.5,11.13,10.6505,0.0,460433984.0,2026-07-11,ok,INR,OK,17701519000.0,,10678644000.0,2.903,0.215,194.333,0.046090003,0.665,,20809512960.0,201822000.0,-707756032.0,-2093305088.0,3.1381128,24.695122,2026-07-12,1287711000.0,13203124000.0,460434000.0,546762000.0,-707756000.0,-1388559000.0,17701519000.0,15856848000.0,7575101000.0,7040330000.0,16289506000.0,14405781000.0,5610862000.0,5036390000.0,5509744000.0,4988305000.0,3322693000.0,2842902000.0,43249991.0,41159991.0,2026-07-23,False
ARIS,Arisinfra Solutions Limited,Industrials,Engineering & Construction,10674629632.0,1006720000.0,9.43,702670016.0,9963308181.567993,69.45,55.3,12.22,13.2588,0.0,527040000.0,2026-07-11,ok,INR,OK,10414610000.0,-53660000.0,4419080000.0,2.64,2.075,9.356,0.06942,,,7702600704.0,1491600000.0,1419879936.0,855551232.0,1.1327655,15.983918,2026-07-12,1023580000.0,2904410000.0,527040000.0,20650000.0,1419880000.0,-212840000.0,10414610000.0,6966950000.0,0.0,30120000.0,7113690000.0,6318460000.0,2694610000.0,4484250000.0,10674630000.0,7676720000.0,8904010000.0,6596250000.0,81761246.0,81048526.0,2026-07-23,False
ARKADE,ARKADE DEVELOPERS LIMITED,Real Estate,Real Estate - Development,8164018176.0,1891463040.0,23.17,990638016.0,26241694946.859528,82.26,49.5,0.6,0.8966,0.0,53793000.0,2026-07-11,ok,INR,OK,11272164000.0,,8968848000.0,7.128,0.717,11.23,0.094060004,,,24772397056.0,809366976.0,-1192888064.0,819829248.0,2.7876263,457.10345,2026-07-12,87944000.0,2450555000.0,53793000.0,1569324000.0,-1192888000.0,-2177210000.0,11272164000.0,12506179000.0,922655000.0,748958000.0,10432518000.0,12060534000.0,1463670000.0,2890512000.0,8164018000.0,6830962000.0,5644654000.0,4191715000.0,185663617.0,185663617.0,2026-07-23,False
ARMANFIN,Arman Financial Services Limited,Financial Services,Credit Services,2921947904.0,,0.0,17757224960.0,20366040837.608032,29.78,36.8,6.26,6.7567,0.0,566052992.0,2026-07-11,ok,INR,OK,27978102000.0,,27309092000.0,493.864,492.957,190.256,0.02253,0.194,,32805109760.0,3988753920.0,-4764021760.0,,2.039643,33.900524,2026-07-12,1889105000.0,18644780000.0,566053000.0,520732000.0,-4764022000.0,4928151000.0,27978102000.0,22273165000.0,17757225000.0,3760181000.0,27328209000.0,16440490000.0,19117000.0,9748181000.0,6091657000.0,6444798000.0,3556796000.0,3516981000.0,10512921.0,10490538.0,2026-07-23,False
AROGRANITE,Aro Granite Industries Limited,Industrials,Building Products & Equipment,735158976.0,15005000.0,2.04,1515904000.0,396116990.6616211,58.41,-57.0,-6.57,1.6226,0.0,-118175000.0,2026-07-11,ok,INR,OK,3942603000.0,,836779000.0,1.467,0.179,87.15,-0.01279,0.399,,1805933568.0,94865000.0,167291008.0,79318000.0,0.2212792,,2026-07-12,34920000.0,2203193000.0,-118175000.0,-64228000.0,167291000.0,330127000.0,3942603000.0,4197407000.0,264305000.0,283697000.0,2627308000.0,2771684000.0,1790529000.0,1903234000.0,735159000.0,1230905000.0,378188000.0,698939000.0,15300000.0,15300000.0,2026-07-23,False
ARSSBL,ANAND RATHI SH N STK BR L,Financial Services,Financial Conglomerates,7584139776.0,,0.0,8551190016.0,32583257099.70703,0.05,28.2,13.96,24.6873,5.47,1292720000.0,2026-07-11,ok,INR,OK,70993400000.0,4252180000.0,12950300000.0,1.242,0.288,63.43,0.02471,,,43214749696.0,1118060032.0,7251709952.0,,2.6541696,24.388628,2026-07-12,3446650000.0,57512110000.0,1292720000.0,1036060000.0,7251710000.0,6918140000.0,70993400000.0,33650010000.0,348280000.0,348280000.0,69982480000.0,32801900000.0,57032180000.0,28132510000.0,7398680000.0,7028620000.0,4004440000.0,3970610000.0,62725250.0,62725250.0,2026-07-23,False
ARTEMISMED,Artemis Medicare Services Limited,,,10812424192.0,1881766016.0,17.4,2615600128.0,,80.97,14.1,11.63,,0.0,1036192000.0,2026-07-11,ok,INR,OK,,,,1.74,1.545,27.805,0.06286,0.268,,44381327360.0,2061415040.0,1319474048.0,3450975744.0,4.682455,120.9607,2026-07-12,,,,,,,,,,,,,,,,,,,,,2026-07-23,False
