symbol,name,sector,industry,revenue,ebitda,ebitda_margin_pct,total_debt,market_cap,insider_holding_pct,revenue_growth_pct,return_on_equity_pct,return_on_capital_employed_pct,promoter_pledge_pct,net_income,as_of_date,status,financial_currency,currency_flag,total_assets,retained_earnings,working_capital,current_ratio,quick_ratio,debt_to_equity,return_on_assets,beta,peg_ratio,enterprise_value,total_cash,operating_cash_flow,free_cash_flow,price_to_book,trailing_pe,data_pull_date
CELEBRITY,Celebrity Fashions Limited,Consumer Cyclical,Apparel Manufacturing,1720600064.0,-59200000.0,-3.44,582200000.0,485403552.0,56.2,-15.6,-104.21,-46.3259,72.46,-157200000.0,2026-07-11,ok,INR,OK,1116000000.0,,-23400000.0,0.973,0.587,605.198,-0.048520003,-0.13,,709980672.0,265200000.0,307400000.0,307024992.0,4.084737,,2026-07-12
CELLO,Cello World Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",23787608064.0,5263955968.0,22.13,381135008.0,81429266432.0,75.0,9.9,12.98,16.1308,0.0,3315064064.0,2026-07-11,ok,INR,OK,30031783000.0,,19023428000.0,8.102,5.508,1.411,0.099350005,0.22,,76183568384.0,7256714752.0,2550626048.0,204751248.0,3.075184,25.061182,2026-07-12
CEMPRO,Cemindia Projects Limited,Industrials,Engineering & Construction,100605796352.0,10184399872.0,10.12,9049100288.0,269156794368.0,72.09,13.1,28.24,37.1151,0.0,5977299968.0,2026-07-11,ok,INR,OK,70864500000.0,15946000000.0,11233400000.0,1.249,0.93,37.711,0.08354,0.815,,271868084224.0,6337800192.0,4997799936.0,-367824992.0,11.216746,45.04888,2026-07-12
CENTENKA,Century Enka Limited,Consumer Cyclical,Textile Manufacturing,17054100480.0,1477699968.0,8.66,221700000.0,11432227840.0,38.74,8.9,6.92,8.0517,0.0,1008400000.0,2026-07-11,ok,INR,OK,18514000000.0,,7013800000.0,4.225,2.553,1.482,0.031770002,0.14,,8063611392.0,3591300096.0,1254300032.0,703025024.0,0.764329,11.336945,2026-07-12
CENTEXT,Century Extrusions Limited,Basic Materials,Aluminum,4785600000.0,317500000.0,6.63,669600000.0,1511200000.0,52.62,18.7,13.23,28.9816,13.54,109700000.0,2026-07-11,ok,INR,OK,1874600000.0,,351900000.0,1.358,0.43,80.772,0.09032,0.128,,2109394560.0,66300000.0,40500000.0,-312350016.0,1.8166955,13.788321,2026-07-12
CENTRALBK,Central Bank of India,Financial Services,Banks - Regional,185238994944.0,,,318542086144.0,295075676160.0,81.19,44.8,11.91,,0.0,45237800960.0,2026-07-11,ok,INR,OK,5510791460000.0,74112738000.0,,,,,0.00878,0.402,,237585973248.0,378347094016.0,-523690409984.0,,0.7601548,6.5199995,2026-07-12
CENTRUM,Centrum Capital Limited,Financial Services,Financial Conglomerates,6977953792.0,,,160577028096.0,11658647552.0,62.94,-25.9,-19.12,7.1175,29.96,-1382455040.0,2026-07-11,ok,INR,OK,214826665000.0,,69148043000.0,1.351,1.294,1218.677,-0.01277,-0.007,,169303457792.0,12838116352.0,-18144239616.0,,3.691406,,2026-07-12
CENTUM,Centum Electronics Limited,Technology,Electronic Components,9527489536.0,1631480064.0,17.12,1234759936.0,53769211904.0,50.23,-7.7,28.0,39.6817,0.0,1007110016.0,2026-07-11,ok,INR,OK,13027120000.0,,1519500000.0,1.157,0.432,37.984,0.05989,-0.032,,71626973184.0,1201120000.0,603880000.0,1314663808.0,20.91274,53.476032,2026-07-12
CENTURYPLY,Century Plyboards (India) Limited,Basic Materials,Lumber & Wood Production,53971800064.0,6503966208.0,12.05,17648764928.0,175516663808.0,71.89,24.5,10.71,14.5526,0.0,2626953984.0,2026-07-11,ok,INR,OK,51035327000.0,,892992000.0,1.048,0.364,67.105,0.060370002,0.198,,192985808896.0,590134976.0,4570399232.0,-1432767232.0,6.7330885,66.666664,2026-07-12
CERA,Cera Sanitaryware Limited,Industrials,Building Products & Equipment,20516175872.0,2603613952.0,12.69,466985984.0,81399734272.0,57.02,12.8,14.47,17.2919,0.0,2041856000.0,2026-07-11,ok,INR,OK,19582029000.0,8042021000.0,11930540000.0,4.259,3.069,3.172,0.07648,-0.113,,73436807168.0,8458804224.0,2118914944.0,1722791936.0,5.5305657,39.840347,2026-07-12
CESC,CESC Limited,Utilities,Utilities - Regulated Electric,185700007936.0,36189999104.0,19.49,216710004736.0,217300746240.0,6.32,5.6,12.55,10.1739,0.0,15420000256.0,2026-07-11,ok,INR,OK,464700000000.0,,-8390000000.0,0.921,0.766,164.311,0.03418,0.332,,384007733248.0,56710000640.0,40569999360.0,-9705150464.0,1.7351863,14.107573,2026-07-12
CEWATER,CONCORD ENVIRO SYSTEMS L,Utilities,Utilities - Regulated Water,5578560000.0,378649984.0,6.79,1673590016.0,7297491456.0,68.47,-0.5,4.12,7.7342,0.0,227980000.0,2026-07-11,ok,INR,OK,9518360000.0,,3502780000.0,2.004,1.125,29.281,0.01392,,,8312431104.0,658019968.0,-231730000.0,-835157504.0,1.2766389,31.938406,2026-07-12
CGCL,Capri Global Capital Limited,Financial Services,Credit Services,28226539520.0,,,241120985088.0,242674483200.0,63.72,72.0,16.5,3.2592,0.0,9491519488.0,2026-07-11,ok,INR,OK,326759960000.0,,300134890000.0,90.171,88.969,334.728,0.03548,-0.03,,462171406336.0,22112890880.0,-87277748224.0,,3.3756256,24.947578,2026-07-12
CGPOWER,CG Power and Industrial Solutions Limited,Industrials,Electrical Equipment & Parts,124179496960.0,15660099584.0,12.61,1185100032.0,1443625959424.0,60.04,25.0,19.56,19.3485,0.0,12043200512.0,2026-07-11,ok,INR,OK,126676100000.0,26843300000.0,38043700000.0,1.906,1.484,1.446,0.08918,0.407,,1417196863488.0,29838700544.0,7024500224.0,-196850000.0,18.111403,119.03896,2026-07-12
CHALET,Chalet Hotels Limited,Consumer Cyclical,Lodging,27697530880.0,11874039808.0,42.87,23676780544.0,183900323840.0,67.41,6.0,19.13,16.5909,31.91,6451089920.0,2026-07-11,ok,INR,OK,73086320000.0,,-3835110000.0,0.702,0.305,64.041,0.08327,-0.058,,204198035456.0,3231089920.0,10668630016.0,3834552576.0,4.9694057,28.485415,2026-07-12
CHAMBLFERT,Chambal Fertilisers and Chemicals Limited,Basic Materials,Agricultural Inputs,207936602112.0,26784899072.0,12.88,10675000320.0,181795979264.0,62.96,13.7,20.45,21.8211,23.46,19533899776.0,2026-07-11,ok,INR,OK,144024400000.0,,34068400000.0,2.333,1.227,10.274,0.11282,0.292,,181451161600.0,10607599616.0,1377699968.0,-9946962944.0,1.7444744,9.301969,2026-07-12
CHEMPLASTS,Chemplast Sanmar Limited,Basic Materials,Chemicals,42237898752.0,1979100032.0,4.69,19518400512.0,31791091712.0,54.99,9.1,-14.64,-4.0569,0.0,-2798700032.0,2026-07-11,ok,INR,OK,63152300000.0,,-14563500000.0,0.504,0.213,111.239,-0.00149,-0.114,,45982281728.0,5328999936.0,2942899968.0,951962496.0,1.8119475,,2026-07-12
CHENNPETRO,Chennai Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing,636400631808.0,47571398656.0,7.48,19641600000.0,175819669504.0,69.06,-2.5,32.13,33.4355,0.0,31026999296.0,2026-07-11,ok,INR,OK,200346200000.0,,45017100000.0,1.623,0.218,17.68,0.13972999,0.151,,182044917760.0,13421800448.0,29449601024.0,13170074624.0,1.582697,5.6658187,2026-07-12
