symbol,name,sector,industry,revenue,ebitda,ebitda_margin_pct,total_debt,market_cap,insider_holding_pct,revenue_growth_pct,return_on_equity_pct,return_on_capital_employed_pct,promoter_pledge_pct,net_income,as_of_date,status,financial_currency,currency_flag,total_assets,retained_earnings,working_capital,current_ratio,quick_ratio,debt_to_equity,return_on_assets,beta,peg_ratio,enterprise_value,total_cash,operating_cash_flow,free_cash_flow,price_to_book,trailing_pe,data_pull_date,ebit,total_liabilities,net_income_fy0,net_income_fy1,operating_cash_flow_fy0,operating_cash_flow_fy1,total_assets_fy0,total_assets_fy1,long_term_debt_fy0,long_term_debt_fy1,current_assets_fy0,current_assets_fy1,current_liabilities_fy0,current_liabilities_fy1,total_revenue_fy0,total_revenue_fy1,cost_of_revenue_fy0,cost_of_revenue_fy1,shares_outstanding_fy0,shares_outstanding_fy1,market_cap_as_of,negative_revenue_flag
LAKPRE,Lakshmi Precision Screws Limited,Industrials,Tools & Accessories,2586920448.0,38059400.0,1.471,,117090051.96826744,71.927,20.9,-86.243,,,-399769536.0,2026-07-21,ok,INR,OK,,,,0.843,0.179,,-0.00028,-0.422,,,,301825568.0,-24811640.0,0.20385675,,2026-08-03,,,,,,,,,,,,,,,,,,,,,2026-08-03,False
LATTEYS,Latteys Industries Limited,Industrials,Specialty Industrial Machinery,1168766976.0,66258000.0,5.669,217900000.0,1152791247.3841667,,59.2,16.111,20.1842,0.0,35557000.0,2026-07-21,ok,INR,OK,825884000.0,,189946000.0,1.319,0.819,91.364,0.05915,1.578,,1367895296.0,5598000.0,-111922000.0,-147404992.0,4.815713,32.032257,2026-08-03,60213000.0,587387000.0,35557000.0,18069000.0,-111922000.0,100771000.0,825884000.0,462622000.0,0.0,214000.0,717513000.0,364529000.0,527567000.0,239566000.0,1168767000.0,802683000.0,894834000.0,600711000.0,57495825.0,57495825.0,2026-08-03,False
LAXMIINDIA,LAXMI INDIA FINANCE LTD,Financial Services,Credit Services,1681959040.0,,0.0,13373120512.0,6866113031.790985,66.401,38.1,13.757,4.1423,0.0,497574016.0,2026-07-21,ok,INR,OK,18177796000.0,,16127095000.0,131.375,131.375,287.301,0.03081,,,18631161856.0,1352788992.0,-2799915008.0,,1.4715625,12.860648,2026-08-03,751639000.0,13523061000.0,497574000.0,360044000.0,-2799915000.0,-3112642000.0,18177796000.0,14125210000.0,13373120000.0,7285700000.0,16159248000.0,5525970000.0,32153000.0,4232070000.0,3146529000.0,2447758000.0,2098466000.0,1686547000.0,52267875.0,52267875.0,2026-08-03,False
LIKHITHA,Likhitha Infrastructure Limited,Energy,Oil & Gas Equipment & Services,4567343104.0,566281984.0,12.398,3626000.0,8866359927.462158,70.248,-10.9,9.812,13.0458,0.0,392014016.0,2026-07-21,ok,INR,OK,4628121000.0,,3839948000.0,8.693,3.567,0.088,0.06964,0.284,,7963720704.0,766873984.0,-47909000.0,-160107504.0,2.1701365,22.74648,2026-08-03,538655000.0,512621000.0,392014000.0,693273000.0,-47909000.0,17788000.0,4628121000.0,4257882000.0,0.0,0.0,4339119000.0,3977309000.0,499171000.0,504165000.0,4567344000.0,5200860000.0,3665532000.0,3923097000.0,39450000.0,39450000.0,2026-08-03,False
LOKESHMACH,Lokesh Machines Limited,Industrials,Specialty Industrial Machinery,2085643008.0,382531008.0,18.341,1694344960.0,7367308260.0,54.742,53.4,1.751,5.3216,15.33,38615000.0,2026-07-21,ok,INR,OK,4278652000.0,765024000.0,526135000.0,1.473,0.388,74.215,0.03063,0.402,,8332922880.0,102331000.0,-133893000.0,-450304384.0,2.9273024,352.73685,2026-08-03,149018000.0,2150455000.0,5368000.0,138479000.0,209067000.0,174404000.0,4278652000.0,3905799000.0,501223000.0,440193000.0,2004536000.0,1876004000.0,1478401000.0,1326710000.0,2283216000.0,2935399000.0,1299339000.0,1808272000.0,19350332.0,18496770.0,2026-08-03,False
LYKALABS,Lyka Labs Limited,Healthcare,Biotechnology,1302464000.0,-26535250.0,-2.037,,2307989075.756466,59.936,,,-7.1446,0.0,-7620000.0,2026-07-21,ok,INR,OK,1745364000.0,,93786000.0,,,,,0.35,,,,,,2.4660075,,2026-08-03,-86190000.0,837050000.0,-100318000.0,80120000.0,52428000.0,18994000.0,1745364000.0,1762060000.0,229893000.0,181222000.0,632778000.0,674316000.0,538992000.0,466312000.0,1284446000.0,1384954000.0,501989000.0,555917000.0,35690000.0,35690000.0,2026-08-03,False
MADHUCON,Madhucon Projects Limited,Industrials,Engineering & Construction,5517711872.0,-1469703936.0,-26.636,36571963392.0,384471640.2150536,63.363,,,,0.0,-4445266944.0,2026-07-21,ok,INR,OK,31348675000.0,0.0,-21030629000.0,0.389,0.034,,-0.124110006,0.573,,30481942528.0,847256000.0,2044006016.0,1059709888.0,-0.020736134,,2026-08-03,-4702179000.0,55759651000.0,-4445267000.0,-4752050000.0,2044006000.0,847449000.0,31348675000.0,36120452000.0,17230253000.0,14558224000.0,13409923000.0,17594519000.0,34440552000.0,35678707000.0,5517712000.0,6765613000.0,3330805000.0,5359454000.0,73794940.0,73794940.0,2026-08-03,False
MAHESHWARI,Maheshwari Logistics Limited,Industrials,Integrated Freight & Logistics,11100062720.0,704211968.0,6.344,2757958912.0,2160595600.0,,13.5,8.154,21.1648,0.0,168390000.0,2026-07-21,ok,INR,OK,6482819000.0,,725902000.0,1.196,0.529,126.348,0.05249,-0.0,,4852368896.0,91648000.0,236300992.0,-887230656.0,1.0016328,12.829525,2026-08-03,586815000.0,4299985000.0,168390000.0,181431000.0,236301000.0,572162100.0,6482819000.0,6134390000.0,476322000.0,723135000.0,4436122000.0,3982832000.0,3710220000.0,3297016000.0,11100063000.0,9737197000.0,9312145000.0,8013260000.0,29597200.0,29597200.0,2026-08-03,False
MANAKSTEEL,Manaksia Steels Limited,Basic Materials,Steel,11311030272.0,765684992.0,6.769,1513869056.0,4775466403.494644,74.748,63.2,12.974,20.7505,0.0,399184000.0,2026-07-21,ok,INR,OK,5926808000.0,,1292331000.0,1.507,0.543,46.44,0.0728,0.319,,5258948096.0,733857024.0,616092992.0,82218752.0,1.511212,12.349753,2026-08-03,700921000.0,2666997000.0,399184000.0,97498000.0,616093000.0,135299000.0,5926808000.0,5365258000.0,,,3841280000.0,3574021000.0,2548949000.0,2372823000.0,11311030000.0,6342570000.0,8989193000.0,5340327000.0,65534050.0,65534050.0,2026-08-03,False
MANORG,Mangalam Organics Limited,Basic Materials,Specialty Chemicals,489040992.0,129553000.0,26.491,3591460096.0,4093802320.0,69.656,2.6,,15.8969,0.0,78266000.0,2026-07-21,ok,INR,OK,7395132000.0,,478041000.0,,,112.728,,,,7721179136.0,25914000.0,,,1.3686711,20.067142,2026-08-03,614884000.0,4209188000.0,257564000.0,125972000.0,9153000.0,-78442000.0,7395132000.0,6236015000.0,549694000.0,345117000.0,4005236000.0,3174449000.0,3527195000.0,2915452000.0,6225716000.0,5300090000.0,3280230000.0,2734844000.0,8564440.0,8564440.0,2026-08-03,False
MANUGRAPH,Manugraph India Limited,Industrials,Specialty Industrial Machinery,886369984.0,70626000.0,7.968,30000000.0,466299027.5862694,65.303,-10.2,8.901,9.5044,0.0,49542000.0,2026-07-21,ok,INR,OK,1366248000.0,,-52776000.0,0.908,0.061,5.169,0.028399998,0.279,,450324640.0,19173000.0,11894000.0,-56003248.0,0.7694757,8.895705,2026-08-03,75529000.0,785868000.0,49542000.0,-266931000.0,11894000.0,3317000.0,1366248000.0,1421643000.0,,,518794000.0,489755000.0,571570000.0,676494000.0,886370000.0,593482000.0,488231000.0,402973000.0,30415061.0,30415061.0,2026-08-03,False
MARALOVER,Maral Overseas Limited,Consumer Cyclical,Textile Manufacturing,9808661504.0,484103008.0,4.935,3738170112.0,2427802989.6698,79.263,-6.0,2.97,12.1125,48.03,32614000.0,2026-07-21,ok,INR,OK,6903193000.0,,-243656000.0,0.935,0.362,337.576,0.01382,0.225,,6079528960.0,78654000.0,895822016.0,237180128.0,2.1348062,72.16455,2026-08-03,385047000.0,5795835000.0,32614000.0,-241977000.0,895822000.0,758702000.0,6903193000.0,7321283000.0,1024970000.0,1468900000.0,3480609000.0,3577167000.0,3724265000.0,3985700000.0,9808661000.0,10470343000.0,5844599000.0,6502665000.0,41508000.0,41508000.0,2026-08-03,False
MASKINVEST,Mask Investments Limited,Financial Services,Capital Markets,998000.0,,0.0,7254000.0,449333375.0,,-92.7,0.074,0.1364,0.0,589000.0,2026-07-21,ok,INR,OK,617312000.0,,6418000.0,1.792,0.435,1.191,-0.0010800001,0.013,,471228896.0,3525000.0,2281000.0,819500.0,0.7520836,773.6842,2026-08-03,831000.0,8137000.0,589000.0,345000.0,2281000.0,-1186000.0,617312000.0,989987000.0,,,14523000.0,15340000.0,8105000.0,9511000.0,998000.0,4100000.0,1374000.0,2915000.0,3051500.0,3051500.0,2026-08-03,False
MAWANASUG,Mawana Sugars Limited,Consumer Defensive,Confectioners,15715900416.0,1049699968.0,6.679,4204699904.0,4297378702.915039,63.489,8.0,7.297,13.3684,0.0,370900000.0,2026-07-21,ok,INR,OK,11226200000.0,2277300000.0,3349600000.0,1.573,0.146,80.14,0.041989997,0.113,,8031597568.0,265900000.0,733100032.0,86150000.0,0.8190623,11.588608,2026-08-03,719500000.0,5979500000.0,370900000.0,1094200000.0,733100000.0,1137600000.0,11226200000.0,10959800000.0,,0.0,9193700000.0,8896100000.0,5844100000.0,5931700000.0,15676500000.0,14431300000.0,12995400000.0,11725700000.0,39116864.0,39116864.0,2026-08-03,False
MAZDA,Mazda Limited,Industrials,Specialty Industrial Machinery,2120546944.0,344935008.0,16.266,0.0,4458566127.7771,62.426,21.6,11.48,14.5381,0.0,275087008.0,2026-07-21,ok,INR,OK,3148967000.0,,1781990000.0,4.08,2.228,,0.06538,-0.146,,2953761024.0,697424000.0,-187746000.0,-311514880.0,1.4944304,16.118546,2026-08-03,373681000.0,655597000.0,275087000.0,248543000.0,-187746000.0,110675000.0,3148967000.0,2646917000.0,,0.0,2360597000.0,1840170000.0,578607000.0,285557000.0,2120547000.0,1932640000.0,909330000.0,896396000.0,20025000.0,20025000.0,2026-08-03,False
MBLINFRA,MBL Infrastructures Limited,Industrials,Engineering & Construction,1760600064.0,104900000.0,5.958,9894299648.0,3860731400.0,75.574,67.4,-2.377,3.5217,23.31,-226300000.0,2026-07-21,ok,INR,OK,29496100000.0,,-7460400000.0,,,103.497,,0.476,,13190249472.0,518700000.0,,,0.39015073,,2026-08-03,682800000.0,19936100000.0,-226300000.0,1694900000.0,390000000.0,464200000.0,29496100000.0,29995339000.0,6844400000.0,9066500000.0,2647100000.0,3138895000.0,10107500000.0,7948059000.0,1760600000.0,1283200000.0,131400000.0,81500000.0,152529256.0,122529256.0,2026-08-03,False
MCLEODRUSS,McLeod Russel India Limited,Consumer Defensive,Packaged Foods,11543900160.0,-259000000.0,-2.244,14953600000.0,5463034860.806599,16.665,-21.2,-4015.999,-23.9752,0.06,-1235000064.0,2026-07-21,ok,INR,OK,23532900000.0,,-10859700000.0,0.229,0.078,,-0.01828,1.155,,19779696640.0,606899968.0,533500000.0,-10500170752.0,-10.757921,,2026-08-03,-2265800000.0,24037800000.0,-1235000000.0,-1978700000.0,533500000.0,724100000.0,23532900000.0,35943515000.0,6396600000.0,974046000.0,3222600000.0,2809235000.0,14082300000.0,33174639000.0,11543900000.0,11854100000.0,610200000.0,480400000.0,104455735.0,104455735.0,2026-08-03,False
MEIL,MANGAL ELECTRICAL IND L,Industrials,Electrical Equipment & Parts,5796786176.0,683492992.0,11.791,454305984.0,8114967756.081787,74.79,17.2,11.474,11.7294,0.0,431710016.0,2026-07-21,ok,INR,OK,7070532000.0,,4483086000.0,,,7.695,,,,7400554496.0,909196032.0,,,1.3336964,16.542645,2026-08-03,697395000.0,1166867000.0,431710000.0,473070000.0,-1013525000.0,-300918000.0,7070532000.0,3664636000.0,20128000.0,115333000.0,5607897000.0,2994985000.0,1124811000.0,1904857000.0,5796786000.0,5494214000.0,4578852000.0,4161744000.0,27630124.0,27630124.0,2026-08-03,False
MENONBE,Menon Bearings Limited,Consumer Cyclical,Auto Parts,3192869888.0,693987008.0,21.736,468531008.0,12391004434.204102,70.837,36.6,,25.9373,0.0,439286016.0,2026-07-21,ok,INR,OK,2675221000.0,1632272000.0,839823000.0,,,25.279,,0.142,,12159671296.0,110323000.0,,,6.6847067,28.128498,2026-08-03,549199000.0,821762000.0,382514000.0,249345000.0,233183000.0,270498000.0,2675221000.0,2305864000.0,212496000.0,218892000.0,1397633000.0,1118362000.0,557810000.0,454328000.0,2901671000.0,2368946000.0,1402855000.0,1137931000.0,56040000.0,56040000.0,2026-08-03,False
