symbol,name,market_cap_cr,revenue_cr,sector,industry,generations,attempts,last_detail
WINDMACHIN,Windsor Machines Limited,3000.3,570.5,Industrials,Specialty Industrial Machinery,1,7,all providers returned nothing (or unparseable)
RAMKY,Ramky Infrastructure Limited,2666.5,1846.5,Industrials,Engineering & Construction,1,8,all providers returned nothing (or unparseable)
PIXTRANS,PIX Transmissions Limited,2484.1,583.8,Industrials,Specialty Industrial Machinery,1,7,all providers returned nothing (or unparseable)
SAIPARENT,SAI PARENTERALS LIMITED,2473.8,381.0,Healthcare,Drug Manufacturers - General,1,8,all providers returned nothing (or unparseable)
VINDHYATEL,Vindhya Telelinks Limited,2126.5,3593.2,Industrials,Engineering & Construction,1,8,all providers returned nothing (or unparseable)
SOMANYCERA,Somany Ceramics Limited,2108.1,2789.8,Industrials,Building Products & Equipment,1,8,all providers returned nothing (or unparseable)
SPMLINFRA,SPML Infra Limited,1739.5,868.5,Industrials,Engineering & Construction,1,8,all providers returned nothing (or unparseable)
NINSYS,NINtec Systems Limited,1662.6,170.2,Technology,Information Technology Services,0,3,all providers returned nothing (or unparseable)
SHRIRAMPPS,Shriram Properties Limited,1516.4,1267.4,Real Estate,Real Estate - Development,1,8,all providers returned nothing (or unparseable)
ONIDA,Onida Electronics Limited,1433.6,771.4,Consumer Cyclical,"Furnishings, Fixtures & Appliances",0,3,all providers returned nothing (or unparseable)
BHAGYANGR,Bhagyanagar India Limited,1212.6,2377.8,Basic Materials,Copper,0,4,all providers returned nothing (or unparseable)
SEPC,SEPC Limited,1192.6,1054.5,Industrials,Engineering & Construction,1,8,all providers returned nothing (or unparseable)
HITECHGEAR,The Hi-Tech Gears Limited,1132.4,504.5,Consumer Cyclical,Auto Parts,0,3,all providers returned nothing (or unparseable)
MANALIPETC,Manali Petrochemicals Limited,1130.0,1022.4,Basic Materials,Specialty Chemicals,1,8,all providers returned nothing (or unparseable)
ARROWGREEN,Arrow Greentech Limited,1057.1,200.5,Consumer Cyclical,Packaging & Containers,0,4,all providers returned nothing (or unparseable)
MUNJALAU,Munjal Auto Industries Limited,1027.1,2295.2,Consumer Cyclical,Auto Parts,1,7,all providers returned nothing (or unparseable)
RSWM,RSWM Limited,1011.5,4554.1,Consumer Cyclical,Textile Manufacturing,0,3,all providers returned nothing (or unparseable)
GAYAPROJ,Gayatri Projects Limited,986.2,984.8,Industrials,Engineering & Construction,0,3,all providers returned nothing (or unparseable)
KOKUYOCMLN,Kokuyo Camlin Limited,862.1,683.5,Industrials,Business Equipment & Supplies,1,8,all providers returned nothing (or unparseable)
TNPETRO,Tamilnadu Petroproducts Limited,848.7,1466.1,Basic Materials,Specialty Chemicals,1,7,all providers returned nothing (or unparseable)
KECL,Kirloskar Electric Company Limited,848.2,589.3,Industrials,Specialty Industrial Machinery,0,3,all providers returned nothing (or unparseable)
REGAAL,REGAAL RESOURCES LIMITED,812.4,1135.4,Consumer Defensive,Packaged Foods,0,3,all providers returned nothing (or unparseable)
RMDRIP,R M DRIP & SPRINK SYS LTD,812.3,197.4,Industrials,Farm & Heavy Construction Machinery,1,8,all providers returned nothing (or unparseable)
TVTODAY,T.V. Today Network Limited,723.0,808.7,Communication Services,Broadcasting,1,7,all providers returned nothing (or unparseable)
VIVIANA,VIVIANA POWER TECH LTD,707.8,531.2,Industrials,Engineering & Construction,0,3,all providers returned nothing (or unparseable)
KANORICHEM,Kanoria Chemicals & Industries Limited,665.1,981.4,Basic Materials,Chemicals,0,3,all providers returned nothing (or unparseable)
ONMOBILE,OnMobile Global Limited,649.1,516.9,Communication Services,Telecom Services,0,3,all providers returned nothing (or unparseable)
SUTLEJTEX,Sutlej Textiles and Industries Limited,637.5,2575.5,Consumer Cyclical,Textile Manufacturing,0,3,all providers returned nothing (or unparseable)
GLOTTIS,GLOTTIS LIMITED,619.8,729.4,Industrials,Integrated Freight & Logistics,0,3,all providers returned nothing (or unparseable)
TRANSPEK,Transpek Industry Limited,587.1,621.2,Basic Materials,Chemicals,1,8,all providers returned nothing (or unparseable)
MCLEODRUSS,McLeod Russel India Limited,581.7,1154.4,Consumer Defensive,Packaged Foods,0,3,all providers returned nothing (or unparseable)
VISACHROME,VISA Chrome Limited,576.2,561.6,Basic Materials,Steel,0,3,all providers returned nothing (or unparseable)
MODINATUR,Modi Naturals Limited,546.7,719.2,Consumer Defensive,Packaged Foods,0,3,all providers returned nothing (or unparseable)
DISHTV,Dish TV India Limited,535.8,1162.6,Communication Services,Entertainment,0,4,all providers returned nothing (or unparseable)
