symbol,financial_currency,currency_flag,periods_available,ebit,total_liabilities,ni_0,ni_1,cfo_0,cfo_1,ta_0,ta_1,ltd_0,ltd_1,ca_0,ca_1,cl_0,cl_1,rev_0,rev_1,cogs_0,cogs_1,shares_0,shares_1,ar_0,ar_1,ppe_net_0,ppe_net_1,ppe_gross_0,ppe_gross_1,dep_0,dep_1,sga_0,sga_1,sti_0,sti_1,error_reason
RPPINFRA,INR,OK,5,272100000.0,4999700000.0,74500000.0,652900000.0,72000000.0,82300000.0,10349100000.0,9534500000.0,55400000.0,47300000.0,7675000000.0,6841600000.0,4934600000.0,4095300000.0,14951000000.0,14394300000.0,13864300000.0,12361100000.0,49585918.0,49585918.0,1455700000.0,4190600000.0,1478800000.0,1526500000.0,1478800000.0,2041400000.0,81500000.0,95800000.0,,66900000.0,4223000000.0,22800000.0,
RPPL,INR,OK,5,335654000.0,1615920000.0,172525000.0,79610000.0,188045000.0,184583000.0,3421315000.0,3200278000.0,228317000.0,250949000.0,1556878000.0,1471124000.0,1181541000.0,1180098000.0,3321839000.0,3297350000.0,1948180000.0,2045396000.0,,73344000.0,569927000.0,644373000.0,1386358000.0,1337713000.0,1386358000.0,1962817000.0,174051000.0,173441000.0,,239646000.0,45801000.0,45713000.0,
RPSGVENT,INR,OK,5,8385400000.0,146680300000.0,-1379800000.0,-490400000.0,12334000000.0,10975000000.0,190494200000.0,162217400000.0,31288900000.0,22388300000.0,42641900000.0,36652400000.0,72803600000.0,51551600000.0,113231000000.0,96083500000.0,59344300000.0,53341600000.0,33086409.0,33086409.0,14337700000.0,12146300000.0,18567400000.0,18930300000.0,27894500000.0,26781000000.0,4869500000.0,3699900000.0,12360700000.0,10289900000.0,1116100000.0,1110000000.0,
RPTECH,INR,OK,5,4777670000.0,32909200000.0,2775770000.0,2080640000.0,1136870000.0,-2991800000.0,53271480000.0,42636180000.0,0.0,8800000.0,52197950000.0,41759430000.0,32671190000.0,25060680000.0,158273370000.0,137727330000.0,149549360000.0,130454790000.0,65899665.0,65899665.0,21842120000.0,17950960000.0,764110000.0,587640000.0,764110000.0,1407350000.0,215150000.0,172400000.0,,947980000.0,142050000.0,3580000.0,
RRIL,INR,OK,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty balance_sheet or financials from yfinance
RRKABEL,INR,OK,5,7258142000.0,20469769000.0,4922191000.0,3116110000.0,2952899000.0,4943980000.0,46213768000.0,35169205000.0,10063000.0,0.0,31094904000.0,22524548000.0,18835658000.0,12620859000.0,95870018000.0,75178343000.0,79431762000.0,62638424000.0,113105505.0,113072901.0,9979905000.0,8232138000.0,12446794000.0,10033111000.0,17007836000.0,13712127000.0,922640000.0,704986000.0,3336437000.0,2991322000.0,510195000.0,524612000.0,
RSDFIN,INR,OK,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty balance_sheet or financials from yfinance
RSL,INR,OK,4,864537000.0,2369470000.0,498184000.0,398514000.0,320920000.0,70839000.0,6002454000.0,4203579000.0,10340000.0,176381000.0,5126215000.0,3473574000.0,2249822000.0,2386309000.0,10069637000.0,9319327000.0,8045434000.0,7447379000.0,83567658.0,83567658.0,1375126000.0,1502187000.0,753467000.0,727332000.0,753467000.0,1555747000.0,93676000.0,87583000.0,,152887000.0,579787000.0,26958000.0,
RSYSTEMS,INR,OK,5,2693450000.0,8774740000.0,1861960000.0,1311820000.0,2198690000.0,2352650000.0,21021850000.0,12155790000.0,2691750000.0,13010000.0,8953610000.0,5874570000.0,4702550000.0,2594190000.0,19582060000.0,17417270000.0,11961080000.0,11015620000.0,118403582.0,118303445.0,4106610000.0,2573090000.0,1411570000.0,932680000.0,3382360000.0,2570930000.0,663980000.0,653730000.0,1950810000.0,1493020000.0,88370000.0,92260000.0,
RTNINDIA,INR,OK,5,-885320000.0,20012350000.0,-1654190000.0,844350000.0,-555150000.0,3064070000.0,27708880000.0,26357350000.0,,,12358760000.0,12943810000.0,18879030000.0,16001680000.0,75210460000.0,66912500000.0,58366950000.0,54207350000.0,1380887604.0,1380887604.0,664200000.0,505680000.0,425750000.0,503210000.0,425750000.0,765950000.0,138690000.0,160170000.0,,722960000.0,934140000.0,108110000.0,
